"##characteristics#run#execution_time_kernel_0#all"
4.01082
3.999572
3.997438
4.013677
4.000354
3.994297
3.990814
4.01051
4.011064
4.007575
8.758866
8.684942
8.805268
8.752809
8.680116
8.786125
8.717868
8.677274
8.798716
8.668947

